Name,Description,Designator,Footprint,LibRef,Quantity,LCSC PART #
100nF,,"C1, C22, C35, C36, C37, C42, C43, C44, C45, C48, C50, C51, C52, C56, C68",CAPC1005X55X25ML05T10,CMP-2008-02013-1,15,C1525
1uF,Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R,"C2, C38, C53, C57, C58, C59, C60, C61, C65, C66",FP-CL511-IPC_C,CMP-13271-001936-1,10,C52923
10uF,10uF 16V  ±10% 3O 1206  SMD Tantalum Capacitor,"C14, C41, C49",FP-TAJA-MFG,CMP-1661-00004-2,3,C7171
4u7,Cap Ceramic 4.7uF 10V X5R ±20% SMD 0402 +85°C Paper T/R,"C39, C40, C47",FP-CL282-IPC_C,CMP-13271-000548-1,3,C23733
CL10A226MQ8NRNC,CL10 Series 22 uF 6.3 V Â±20 % Tolerance X5R SMT Multilayer Ceramic Capacitor,"C46, C67",CAPC1608X100N,CMP-001-00086-1,2,C59461
33pF,Cap Ceramic 33pF 50V C0G ±5% SMD 0402 +125°C Paper T/R,"C54, C55",FP-CL790-IPC_C,CMP-13271-001471-1,2,C1562
47nF,Cap Ceramic 47nF 50V X7R ±10% Pad SMD 0603 +125°C T/R,C62,FP-CL10-IPC_A,CMP-13271-001056-1,1,C1622
10nF,,"C63, C64",CAPC1005X55X25LL05T05,CMP-1034-01870-2,2,C15195
RED,Red 0603 Light Emitting Diodes,D5,LED_KT-0603R,CMP-004-00031-1,1,C2286
White,"LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",D6,LTST-C190TBKT-2_V,CMP-007-00026-2,1,C2290
USBLC6-2SC6,Integrated Circuit,IC1,SOT95P280X145-6N,USBLC6-2SC6,1,C2827654
AP2112K-3.3TRG1,IC REG LINEAR 3.3V 600MA SOT-25,"IC5, IC7",DIODES SOT-23-5 W5,AP2112K-3.3TRG1,2,C51118
AP2112K-1.8TRG1,IC REG LINEAR 1.8V 600MA SOT-25,IC6,DIODES SOT-23-5 W5,AP2112K-1.8TRG1,1,C176944
USB4105-GF-A-120,"USB CONN, 2.0 TYPE C, RCPT, 16POS, SMT; USB Connector Type:USB Type C; USB Standard:USB 2.0; Gender:Receptacle; No. of Positions:16Positions; Connector Mounting:Surface Mount, Through Hole Mount; Orientation:Right Angle RoHS Compliant: Yes",J3,GCT_USB4105-GF-A-120,CMP-002-00071-1,1,C5184243
SLLB120300,Electromechanical Switch Lever and Push Switch ON OFF SPST 0.01A T/R,"PLAYBACK, VOLUME",SW_SLLB120300,CMP-011-00013-2,2,C255512
AO3401A,"P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel",Q1,AO-SOT-23-3L_V,CMP-2000-05778-1,1,C15127
10K,"RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402","R1, R2, R3, R4, R5, R6, R36, R44, R45, R46, R47, R51, R54, R55, R57, R58, R65, R72",FP-CRCW0402-e3-IPC_B,CMP-2002-08136-3,18,C25744
5K1,"RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402","R37, R40, R66, R67, R73",FP-CRCW0402-e3-IPC_C,CMP-2002-00117-2,5,C25905
0402WGF1101TCE,1.1K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount,"R38, R39, R41, R43",RESC1005X40N,CMP-009-00177-1,4,C22764
0402WGF1003TCE,100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount,"R42, R48, R49, R50, R53, R56",RESC1005X40N,CMP-009-00178-1,6,C25741
CRCW04021M00FKEDHP,Resistor;Thick Film;1 Megohms;0.125 W;1%;SMT;0402;TCR 37 ppm/DegC,R52,RESC1005X40N,CMP-009-00179-1,1,C26083
0603WAF200JT5E,20 Ohm 1/10W Thick Film Resistor 0603 Chip - Surface Mount,"R62, R64",RESC1608X55N,CMP-009-00181-1,2,C22950
0402WGF100JTCE,10 Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount,R63,RESC1005X40N,CMP-009-00180-1,1,C25077
TS-1187A-B-A-B,SPST 50mA @ 12VDC Top Actuated Round Button 160gf SMD Tactile Switches RoHS,"S1, S2",SW_TS-1187A-B-A-B,CMP-047-000000-1,2,C318884
BQ24074RGTRG4,"USB-Friendly Li-Ion Battery Charger and Power-Path Management IC, 10.5 V OVP, 4.3 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)",U4,RGT16-1700X1700TP,CMP-0321-00219-1,1,C54313
,VS1053B MP3/WAV/OGG/MIDI Player & Recorder (CODEC) Chip,U5,LQFP48-0.5-7X7MM,CMP-009-000000-1,1,C9922
,"USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)",U6,QFN28G_0.5-5X5MM,CMP-013-000000-1,1,C6568
PCF8575CPW,"Remote 16-Bit I2C and SMBus I/O Expander with Interrupt Output, 4.5 to 5.5 V, -40 to 85 degC, 24-pin TSSOP (PW), Green (RoHS & no Sb/Br)",U7,PW0024A_N,CMP-0314-00372-2,1,C2652277
12.288 MHz,Crystal 12.288MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 80? 4-Pin SMD T/R,Y2,FP-ABM8G-MFG,CMP-27762-013733-1,1,C519811
