Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Mp3\Project Outputs for Mp3\Pick Place for FINAL_VERSION_MP3.csv

========================================================================================================================
File Design Information:

Date:       08-09-26
Time:       12:16
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R62","0603WAF200JT5E","TopLayer","RESC1608X55N","93.9750mm","102.6554mm","90","20 Ohm 1/10W Thick Film Resistor 0603 Chip - Surface Mount"
"C63","10nF","TopLayer","CAPC1005X55X25LL05T05","92.6338mm","103.8606mm","270",""
"C40","4u7","TopLayer","FP-CL282-IPC_C","96.9990mm","41.9878mm","0","Cap Ceramic 4.7uF 10V X5R ±20% SMD 0402 +85°C Paper T/R"
"C38","1uF","TopLayer","FP-CL511-IPC_C","93.4660mm","46.2320mm","90","Cap Ceramic 1uF 10V X5R ±10% SMD 0402 +85°C Paper T/R"
"Y2","12.288 MHz","TopLayer","FP-ABM8G-MFG","65.0500mm","99.7000mm","90","Crystal 12.288MHz ±20ppm (Tol) ±30ppm (Stability) 18pF FUND 80? 4-Pin SMD T/R"
"U7","PCF8575CPW","TopLayer","PW0024A_N","68.6000mm","48.7000mm","90","Remote 16-Bit I2C and SMBus I/O Expander with Interrupt Output, 4.5 to 5.5 V, -40 to 85 degC, 24-pin TSSOP (PW), Green (RoHS & no Sb/Br)"
"U6","","TopLayer","QFN28G_0.5-5X5MM","85.3460mm","47.8290mm","90","USB Bridge, USB to UART USB 2.0 UART Interface 28-QFN (5x5)"
"U5","","TopLayer","LQFP48-0.5-7X7MM","77.6500mm","99.3500mm","270","VS1053B MP3/WAV/OGG/MIDI Player & Recorder (CODEC) Chip"
"U4","BQ24074RGTRG4","TopLayer","RGT16-1700X1700TP","96.3148mm","44.9868mm","90","USB-Friendly Li-Ion Battery Charger and Power-Path Management IC, 10.5 V OVP, 4.3 V, -40 to 85 degC, 16-pin QFN (RGT), Green (RoHS & no Sb/Br)"
"S7","SSSS811101","TopLayer","SW_SSSS811101","105.8978mm","61.4440mm","90","Switch Slide SP Side Slide 0.3A 5VDC 10000Cycles Gull Wing SMD T/R"
"S4","SLLB120300","TopLayer","SW_SLLB120300","51.8212mm","59.5630mm","90","Electromechanical Switch Lever and Push Switch ON OFF SPST 0.01A T/R"
"S3","SLLB120300","TopLayer","SW_SLLB120300","53.8761mm","32.7043mm","140","Electromechanical Switch Lever and Push Switch ON OFF SPST 0.01A T/R"
"S2","TS-1187A-B-A-B","TopLayer","SW_TS-1187A-B-A-B","66.6000mm","31.7000mm","90","SPST 50mA @ 12VDC Top Actuated Round Button 160gf SMD Tactile Switches RoHS"
"S1","TS-1187A-B-A-B","TopLayer","SW_TS-1187A-B-A-B","73.7000mm","31.8000mm","90","SPST 50mA @ 12VDC Top Actuated Round Button 160gf SMD Tactile Switches RoHS"
"R73","5K1","TopLayer","FP-CRCW0402-e3-IPC_C","63.1000mm","46.0000mm","90","RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402"
"R72","10K","TopLayer","FP-CRCW0402-e3-IPC_B","93.4500mm","82.9000mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R67","5K1","TopLayer","FP-CRCW0402-e3-IPC_C","65.4000mm","53.8000mm","180","RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402"
"R66","5K1","TopLayer","FP-CRCW0402-e3-IPC_C","66.6979mm","55.6000mm","0","RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402"
"R65","10K","TopLayer","FP-CRCW0402-e3-IPC_B","54.3000mm","77.8000mm","270","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R64","0603WAF200JT5E","TopLayer","RESC1608X55N","103.2002mm","99.3140mm","0","20 Ohm 1/10W Thick Film Resistor 0603 Chip - Surface Mount"
"R63","0402WGF100JTCE","TopLayer","RESC1005X40N","97.1645mm","111.4383mm","180","10 Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R58","10K","TopLayer","FP-CRCW0402-e3-IPC_B","54.3000mm","80.7000mm","90","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R57","10K","TopLayer","FP-CRCW0402-e3-IPC_B","54.3000mm","83.6522mm","90","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R56","0402WGF1003TCE","TopLayer","RESC1005X40N","89.7890mm","69.4690mm","90","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R55","10K","TopLayer","FP-CRCW0402-e3-IPC_B","65.2000mm","38.1000mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R54","10K","TopLayer","FP-CRCW0402-e3-IPC_B","88.7000mm","80.7000mm","270","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R53","0402WGF1003TCE","TopLayer","RESC1005X40N","92.5830mm","69.4690mm","270","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R52","CRCW04021M00FKEDHP","TopLayer","RESC1005X40N","68.1000mm","99.8000mm","270","Resistor;Thick Film;1 Megohms;0.125 W;1%;SMT;0402;TCR 37 ppm/DegC"
"R51","10K","TopLayer","FP-CRCW0402-e3-IPC_B","72.2479mm","38.1000mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R50","0402WGF1003TCE","TopLayer","RESC1005X40N","72.4000mm","91.5000mm","90","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R49","0402WGF1003TCE","TopLayer","RESC1005X40N","73.5000mm","105.8000mm","0","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R48","0402WGF1003TCE","TopLayer","RESC1005X40N","89.4000mm","74.2000mm","180","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R47","10K","TopLayer","FP-CRCW0402-e3-IPC_B","94.3042mm","39.8796mm","270","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R46","10K","TopLayer","FP-CRCW0402-e3-IPC_B","99.0000mm","41.9878mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R45","10K","TopLayer","FP-CRCW0402-e3-IPC_B","101.0000mm","43.3522mm","270","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R44","10K","TopLayer","FP-CRCW0402-e3-IPC_B","102.9000mm","44.1522mm","90","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R43","1K1","TopLayer","RES_0603_1608","92.9072mm","39.8796mm","90","RES SMD 1.1K OHM 1% 1/10W 0603"
"R42","0402WGF1003TCE","TopLayer","RESC1005X40N","74.1000mm","91.4000mm","270","100K Ohm 1/16W Thick Film Resistor 0402 Chip - Surface Mount"
"R41","1K1","TopLayer","RES_0603_1608","103.1748mm","48.3108mm","90","RES SMD 1.1K OHM 1% 1/10W 0603"
"R40","5K1","TopLayer","FP-CRCW0402-e3-IPC_C","81.2840mm","34.9180mm","0","RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402"
"R39","1K1","TopLayer","RES_0603_1608","101.7524mm","48.3362mm","90","RES SMD 1.1K OHM 1% 1/10W 0603"
"R38","1K1","TopLayer","RES_0603_1608","93.4920mm","48.0000mm","0","RES SMD 1.1K OHM 1% 1/10W 0603"
"R37","5K1","TopLayer","FP-CRCW0402-e3-IPC_C","91.8658mm","29.6434mm","90","RES Thick Film, 5.11kO, 1%, 0.063W, 100ppm/°C, 0402"
"R36","10K","TopLayer","FP-CRCW0402-e3-IPC_B","101.8000mm","64.1500mm","90","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R6","10K","TopLayer","FP-CRCW0402-e3-IPC_B","58.5479mm","61.8000mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R5","10K","TopLayer","FP-CRCW0402-e3-IPC_B","58.5479mm","58.8000mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R4","10K","TopLayer","FP-CRCW0402-e3-IPC_B","57.0484mm","55.3720mm","270","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R3","10K","TopLayer","FP-CRCW0402-e3-IPC_B","56.5474mm","38.9092mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R2","10K","TopLayer","FP-CRCW0402-e3-IPC_B","59.1479mm","37.0692mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"R1","10K","TopLayer","FP-CRCW0402-e3-IPC_B","60.6095mm","34.2866mm","0","RES Thick Film, 10kO, 5%, 0.063W, 200ppm/°C, 0402"
"Q1","AO3401A","TopLayer","AO-SOT-23-3L_V","94.4000mm","86.0000mm","90","P-Channel MOSFET, 30 V, 4 A, -55 to 150 degC, 3-Pin SOT-23-3L, RoHS, Tape and Reel"
"P2","S2B-PH-K-S(LF)(SN)","TopLayer","JST-S2B-PH-K-S_V","98.4000mm","35.5500mm","0","Male Header, Pitch 2 mm, 1 x 2 Position, Height 4.8 mm, Tail Length 3.4 mm, -25 to 85 degC, RoHS, Bulk"
"J6","SSW-104-03-T-S","TopLayer","SAMTEC_SSW-104-03-T-S","104.7750mm","79.8576mm","270","CONN RCPT 4POS 0.1 TIN PCB"
"J5","SSW-108-03-T-S","TopLayer","SAMTEC_SSW-108-03-T-S","51.3434mm","79.8138mm","270","CONN RCPT 8POS 0.1 TIN PCB"
"J4","SJ2-3574A-SMT-TR","TopLayer","FP-SJ2-3574A-SMT-TR-MFG","102.0395mm","105.2487mm","180","AUDIO JACK, 3.5 MM, RT, 4 CONDUC"
"J3","USB4105-GF-A-120","TopLayer","GCT_USB4105-GF-A-120","85.6040mm","30.2885mm","0","USB CONN, 2.0 TYPE C, RCPT, 16POS, SMT; USB Connector Type:USB Type C; USB Standard:USB 2.0; Gender:Receptacle; No. of Positions:16Positions; Connector Mounting:Surface Mount, Through Hole Mount; Orientation:Right Angle RoHS Compliant: Yes"
"IC7","AP2112K-3.3TRG1","TopLayer","DIODES_SOT-23-5_W5","98.7000mm","91.0000mm","90","IC REG LINEAR 3.3V 600MA SOT-25"
"IC6","AP2112K-1.8TRG1","TopLayer","DIODES_SOT-23-5_W5","88.5000mm","88.9500mm","180","IC REG LINEAR 1.8V 600MA SOT-25"
"IC5","AP2112K-3.3TRG1","TopLayer","DIODES_SOT-23-5_W5","91.8500mm","54.2000mm","90","IC REG LINEAR 3.3V 600MA SOT-25"
